name,research_field,topic
Taylor Reed,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe","Digital Archives, Embodied Knowledge, and the Preservation of Performance: A Study of Dance Documentation at the German Federal Archives"
Riley Jain,"HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena",Microbial Secondary Metabolites and Narrative: Exploring Literary Representations of Fungal Discovery and Pharmaceutical Innovation.
Taylor Adams,"IÖR - Leibniz-Institut für ökologische Raumentwicklung, Dresden","Spatial Imaginaries of Ecological Transition: Narratives, Planning, and the Production of Futurity in Germany"
Devon Thomas,"IWM - Leibniz-Institut für Wissensmedien, Tübingen",Algorithmic Storytelling and the Evolution of Narrative Agency in Interactive Media.
Alex Lee,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin","The Literary Ecology of Scientific Illustration: Bridging Art, Science, and Specimen Culture in the Humboldtian Tradition"
Riley Rivera,PIK - Potsdam-Institut für Klimafolgenforschung,"Narratives of Uncertainty: Climate Modeling, Public Discourse, and the Construction of Risk in the Anthropocene."
Alex Adams,"LIR - Leibniz-Institut für Resilienzforschung, Mainz",Resilience and Narrative: Constructing Collective Memory in Post-Disaster German Literature
Skyler Thomas,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main",The Palimpsest of Extinction: Tracing Ecological Grief and Anthropocene Narratives in Scientific and Literary Responses to Megafaunal Loss.
Charlie Gonzalez,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe",Computational Ecology of Digital Archives: Representing and Analyzing Literary Networks in Early Modern English Drama
Alex Chen,"IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern","Materiality, Labor, and Narrative in Composite Material Innovation."
Bailey Kumar,"IPK - Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung, Gatersleben","The Rhetoric of Crop Improvement: Scientific Discourse, Public Perception, and the Construction of Agricultural Innovation at IPK Gatersleben."
Casey Liu,DRFZ - Deutsches Rheuma-Forschungszentrum Berlin,The Rhetoric of Embodiment: Scientific Discourse and Patient Experience in Rheumatoid Arthritis Research
Morgan Clark,DRFZ - Deutsches Rheuma-Forschungszentrum Berlin,Narrative Medicine and Autoimmune Disease: Exploring Patient Experiences at the DRFZ
Cameron Davis,PIK - Potsdam-Institut für Klimafolgenforschung,Climate Narratives and the Crisis of Expertise: A Rhetorical Analysis of IPCC Reports and Public Discourse.
Jamie Smith,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Narrative Echoes: Quantum Optics and the Poetics of Temporal Resolution.
Skyler Garcia,"IPF - Leibniz Institut für Polymerforschung, Dresden","Polymer Materialities: Poetics, Plastics, and the Anthropocene."
Morgan Adams,"IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock, Kühlungsborn",Aerosol-Cloud Interactions and Linguistic Representation in Climate Change Narratives.
Reese Davis,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"Literary Cartographies of the Baltic Sea: Environment, Empire, and Affect in the Long Nineteenth Century"
Casey Lee,"IWM - Leibniz-Institut für Wissensmedien, Tübingen",The Algorithmic Construction of Narrative Authority: Exploring Interactive Storytelling and Digital Authorship at the IWM
Riley Singh,"IÖR - Leibniz-Institut für ökologische Raumentwicklung, Dresden",Environmental Narratives and the Spatial Imaginary: A Comparative Analysis of Urban Regeneration in Dresden and Leipzig.
Riley Garcia,"IPF - Leibniz Institut für Polymerforschung, Dresden",Polymeric Narratives: Material Agency and Storytelling in Contemporary Synthetic Literature.
Jamie Brooks,"ZALF - Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg","The Agrarian Gothic: Landscape, Labor, and Speculative Futures in Post-Unification Germany"
Cameron Chen,"IOM - Leibniz-Institut für Oberflächenmodifizierung, Leipzig",Surface Modification and Literary Materialities: Exploring the Haptic in Early Modern Books
Cameron O'Hara,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe","Data Humanities and the Archive: Reconstructing German Literary Networks, 1780-1830"
Morgan Campbell,"ZALF - Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg","The Poetics of Agricultural Transition: Narratives of Land, Labor, and Loss in Post-Socialist Rural Germany"
Sam Adams,"AIP - Leibniz Institut für Astrophysik, Potsdam",Celestial Cartography and Speculative Narratives: Mapping the Cosmos in Early Science Fiction.
Sam Brooks,"IPF - Leibniz Institut für Polymerforschung, Dresden","Polymer Narratives: Materiality, Memory, and the Construction of Technological Futures."
Jamie Adams,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main",The Poetics of Extinction: Human-Animal Relations in Late Nineteenth-Century Natural History Narratives
Bailey Smith,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main","The Materiality of Specimen Records: Archives, Data, and the History of Scientific Collecting at Senckenberg."
Jordan Liu,"IPHT - Leibniz-Institut für Photonische Technologien, Jena",Photonics and Poetry: Algorithmic Aesthetics in Contemporary Experimental Literature
Jamie Lee,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin",The Poetics of Extinction: Speculative Realism and the Museum of Natural History.
Devon Liu,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin","Speculative Narratives of Extinction: Science, Literature, and the Anthropocene at the Museum"
Dana Clark,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Spectroscopic Signatures of Ultrafast Molecular Dynamics in Functional Materials
Avery Kumar,"HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena",Fungal Secondary Metabolites and the Literary Imagination: Bioactive Compounds as Metaphor in 19th and 20th Century Literature.
Riley Adams,"ATB - Leibniz-Institut für Agrartechnik und Bioökonomie e.V., Potsdam","Narratives of Agricultural Innovation: Technology, Expertise, and the Shaping of Sustainable Food Systems in Post-Unification Germany"
Jamie Gonzalez,"IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern","Materiality, Labor, and Language: Technical Documentation in the Age of Composite Materials."
Devon Clark,"IOM - Leibniz-Institut für Oberflächenmodifizierung, Leipzig","Materiality, Language, and the Rhetoric of Surface Modification."
Riley Patel,"TIB - Leibniz-Informationszentrum Technik und Naturwissenschaften Universitätsbibliothek, Hannover",The Algorithmic Turn in Scholarly Communication: A History of Automated Indexing and Retrieval at TIB.
Dana Lee,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",The Pragmatics of Repair in Multimodal Interaction: A Corpus-Based Study of German Sign Language
Taylor Patel,"ZALF - Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg",Agrobiodiversity Narratives: Constructing Value and Resilience in German Agricultural Heritage.
Sam Thomas,PIK - Potsdam-Institut für Klimafolgenforschung,"Narratives of Climate Risk: Temporal Scales, Uncertainty, and the Construction of Future Selves in IPCC Reports and Related Literature."
Morgan Clark,"IPF - Leibniz Institut für Polymerforschung, Dresden","Polymer Poetics: Materiality, Language, and the Anthropocene in Contemporary Literature."
Reese Brooks,"WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Berlin",Computational Narratives and Algorithmic Aesthetics: Exploring Emergent Meaning in Generative Text.
Jamie Adams,"DIPF - Deutsches Institut für internationale pädagogische Forschung, Frankfurt am Main und Berlin",Negotiating Authority: Multimodal Literacies and Critical Agency in German Secondary School Digital Learning Environments.
Taylor Adams,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe",Computational Poetics and the Digital Archive: Reconstructing Affect in Early Modern Correspondence
Bailey Garcia,"IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock, Kühlungsborn",Aerosol-Cloud Interactions and Narrative: Representing Atmospheric Change in Contemporary Literature and Climate Science.
Robin Chen,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Spectral Interplay: Unveiling Ultrafast Dynamics in Molecular Systems through Coherent Control Spectroscopy
Alex Kumar,"TIB - Leibniz-Informationszentrum Technik und Naturwissenschaften Universitätsbibliothek, Hannover","Algorithmic Bias in Scholarly Search and Discovery: A Critical Examination of Indexing, Ranking, and Representation."
Sam Rivera,DRFZ - Deutsches Rheuma-Forschungszentrum Berlin,The Rhetoric of Pain: Embodied Experience and Scientific Discourse in Rheumatology
Dakota Rivera,PIK - Potsdam-Institut für Klimafolgenforschung,"Narratives of Climate Uncertainty: Affect, Testimony, and the Limits of Scientific Communication."
Casey Patel,"IOM - Leibniz-Institut für Oberflächenmodifizierung, Leipzig",Surface Rhetorics: Material Agency and Persuasion in Nanotechnology Discourse
Sam Adams,"WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Berlin",Computational Stylometrics and the Digital Archive: Quantifying Authorship and Influence in Early Modern Scientific Correspondence.
